model,context,batch,phase,seconds,bytes,flops,intensity,gbps,tflops,bw_fraction,compute_fraction,weight_bytes,kv_bytes,gdn_bytes,gemm_flops,attention_flops,verdict,draft_context_columns
qwen3-8b,8192,16,baseline verify,0.0560285,3.47782e+10,3.20706e+11,9.22147,620.724,5.72398,0.86235,0.0434055,1.51368e+10,1.96317e+10,0,2.42189e+11,7.85174e+10,HBM-bound,
qwen3-8b,8192,16,dflash verify,0.105879,3.49595e+10,5.1313e+12,146.779,330.184,48.4639,0.458713,0.367507,1.51368e+10,1.96671e+10,0,3.87502e+12,1.25628e+12,below both roofs (kernel/launch),
qwen3-8b,8192,16,dflash draft,0.0191385,6.22474e+09,1.00086e+12,160.788,325.247,52.2957,0.451854,0.396564,,,,,,below both roofs (kernel/launch),8.2898
qwen3-8b,16384,1,baseline verify,0.0328444,1.75724e+10,2.4876e+10,1.41563,535.019,0.75739,0.743283,0.00574336,1.51368e+10,2.43494e+09,0,1.51368e+10,9.73917e+09,HBM-bound,
qwen3-8b,16384,1,dflash verify,0.042909,1.75837e+10,3.98016e+11,22.6355,409.79,9.27582,0.569308,0.0703395,1.51368e+10,2.43715e+09,0,2.42189e+11,1.55827e+11,below both roofs (kernel/launch),
qwen3-8b,16384,1,dflash draft,0.00795295,3.68963e+09,7.18664e+10,19.4779,463.932,9.03645,0.644525,0.0685243,,,,,,below both roofs (kernel/launch),2.62754
qwen3-8b,16384,2,baseline verify,0.0361817,2.00079e+10,4.9752e+10,2.48662,552.985,1.37506,0.768242,0.0104272,1.51368e+10,4.86988e+09,0,3.02736e+10,1.94783e+10,HBM-bound,
qwen3-8b,16384,2,dflash verify,0.0486447,2.00306e+10,7.96032e+11,39.7408,411.773,16.3642,0.572061,0.124091,1.51368e+10,4.87431e+09,0,4.84378e+11,3.11654e+11,below both roofs (kernel/launch),
qwen3-8b,16384,2,dflash draft,0.0121848,4.03741e+09,1.44137e+11,35.7003,331.349,11.8293,0.460332,0.0897025,,,,,,below both roofs (kernel/launch),3.43003
qwen3-8b,16384,4,baseline verify,0.0428803,2.4879e+10,9.95039e+10,3.99951,580.196,2.3205,0.806046,0.0175966,1.51368e+10,9.73976e+09,0,6.05472e+10,3.89567e+10,HBM-bound,
qwen3-8b,16384,4,dflash verify,0.0635398,2.49243e+10,1.59206e+12,63.8759,392.263,25.0562,0.544958,0.190003,1.51368e+10,9.74861e+09,0,9.68756e+11,6.23307e+11,below both roofs (kernel/launch),
qwen3-8b,16384,4,dflash draft,0.0140685,4.7331e+09,2.8942e+11,61.1482,336.433,20.5723,0.467395,0.156002,,,,,,below both roofs (kernel/launch),4.56934
qwen3-8b,16384,8,baseline verify,0.0568122,3.46212e+10,1.99008e+11,5.74815,609.397,3.50291,0.846614,0.0265629,1.51368e+10,1.94795e+10,0,1.21094e+11,7.79134e+10,HBM-bound,
qwen3-8b,16384,8,dflash verify,0.0832498,3.47118e+10,3.18413e+12,91.7303,416.96,38.2479,0.579268,0.290037,1.51368e+10,1.94972e+10,0,1.93751e+12,1.24661e+12,below both roofs (kernel/launch),
qwen3-8b,16384,8,dflash draft,0.0155983,6.12467e+09,5.81216e+11,94.8975,392.65,37.2614,0.545494,0.282557,,,,,,below both roofs (kernel/launch),5.74913
qwen3-8b,32768,1,baseline verify,0.0354868,1.99883e+10,3.45397e+10,1.728,563.26,0.97331,0.782517,0.00738071,1.51368e+10,4.85086e+09,0,1.51368e+10,1.94029e+10,HBM-bound,
qwen3-8b,32768,1,dflash verify,0.0569078,1.99996e+10,5.52635e+11,27.6323,351.439,9.71105,0.488241,0.0736399,1.51368e+10,4.85307e+09,0,2.42189e+11,3.10446e+11,below both roofs (kernel/launch),
qwen3-8b,32768,1,dflash draft,0.00859971,4.02515e+09,9.31708e+10,23.1472,468.056,10.8342,0.650254,0.0821567,,,,,,below both roofs (kernel/launch),1.95025
qwen3-8b,32768,2,baseline verify,0.0430673,2.48397e+10,6.90793e+10,2.781,576.766,1.60399,0.801282,0.0121632,1.51368e+10,9.70172e+09,0,3.02736e+10,3.88057e+10,HBM-bound,
qwen3-8b,32768,2,dflash verify,0.0654597,2.48624e+10,1.10527e+12,44.4554,379.812,16.8847,0.52766,0.128039,1.51368e+10,9.70614e+09,0,4.84378e+11,6.20891e+11,below both roofs (kernel/launch),
qwen3-8b,32768,2,dflash draft,0.0166397,4.70842e+09,1.86613e+11,39.6339,282.964,11.215,0.393112,0.0850443,,,,,,below both roofs (kernel/launch),2.49036
qwen3-8b,32768,4,baseline verify,0.0558414,3.45427e+10,1.38159e+11,3.99965,618.585,2.47412,0.859379,0.0187615,1.51368e+10,1.94034e+10,0,6.05472e+10,7.76114e+10,HBM-bound,
qwen3-8b,32768,4,dflash verify,0.0939847,3.4588e+10,2.21054e+12,63.9106,368.017,23.5202,0.511274,0.178356,1.51368e+10,1.94123e+10,0,9.68756e+11,1.24178e+12,below both roofs (kernel/launch),
qwen3-8b,32768,4,dflash draft,0.0198449,6.07505e+09,3.73919e+11,61.55,306.126,18.842,0.42529,0.142881,,,,,,below both roofs (kernel/launch),3.17797
qwen3.5-9b,4096,1,baseline verify,0.0386784,1.61166e+10,1.65151e+10,1.02472,416.682,0.426985,0.578882,0.00323787,1.58734e+10,1.38445e+08,1.03809e+08,1.58734e+10,5.53648e+08,below both roofs (kernel/launch),
qwen3.5-9b,4096,1,dflash verify,0.0720094,1.6132e+10,2.64242e+11,16.38,224.026,3.66954,0.311232,0.0278265,1.58734e+10,1.38936e+08,1.03809e+08,2.53974e+11,8.85837e+09,below both roofs (kernel/launch),
qwen3.5-9b,4096,1,dflash draft,0.0100634,4.73447e+09,7.55884e+10,15.9655,470.465,7.51123,0.653601,0.0569584,,,,,,below both roofs (kernel/launch),4.19584
qwen3.5-9b,4096,2,baseline verify,0.0380606,1.63599e+10,3.30302e+10,2.01898,429.837,0.867831,0.597157,0.00658085,1.58734e+10,2.7689e+08,2.07618e+08,3.17467e+10,1.1073e+09,below both roofs (kernel/launch),
qwen3.5-9b,4096,2,dflash verify,0.0719433,1.63906e+10,5.28483e+11,32.243,227.827,7.34583,0.316513,0.0557042,1.58734e+10,2.77873e+08,2.07618e+08,5.07948e+11,1.77167e+10,below both roofs (kernel/launch),
qwen3.5-9b,4096,2,dflash draft,0.0104916,4.85109e+09,1.52252e+11,31.3852,462.377,14.5118,0.642364,0.110044,,,,,,below both roofs (kernel/launch),5.65278
qwen3.5-9b,4096,4,baseline verify,0.0371627,1.68464e+10,6.60604e+10,3.92135,453.313,1.7776,0.629772,0.0134797,1.58734e+10,5.53779e+08,4.15236e+08,6.34935e+10,2.21459e+09,below both roofs (kernel/launch),
qwen3.5-9b,4096,4,dflash verify,0.072367,1.69079e+10,1.05697e+12,62.5131,233.641,14.6056,0.32459,0.110756,1.58734e+10,5.55745e+08,4.15236e+08,1.0159e+12,3.54335e+10,below both roofs (kernel/launch),
qwen3.5-9b,4096,4,dflash draft,0.0113639,5.08443e+09,3.06159e+11,60.2149,447.419,26.9413,0.621583,0.204299,,,,,,below both roofs (kernel/launch),6.77308
qwen3.5-9b,4096,8,baseline verify,0.0392906,1.78193e+10,1.32121e+11,7.41446,453.527,3.36266,0.630069,0.0254994,1.58734e+10,1.10756e+09,8.30472e+08,1.26987e+11,4.42919e+09,below both roofs (kernel/launch),
qwen3.5-9b,4096,8,dflash verify,0.0725674,1.79425e+10,2.11393e+12,117.817,247.253,29.1306,0.343499,0.2209,1.58734e+10,1.11149e+09,8.30472e+08,2.03179e+12,7.0867e+10,below both roofs (kernel/launch),
qwen3.5-9b,4096,8,dflash draft,0.0123101,5.55174e+09,6.17504e+11,111.227,450.991,50.1624,0.626546,0.380387,,,,,,below both roofs (kernel/launch),8.52959
qwen3.5-9b,4096,16,baseline verify,0.0477265,1.97653e+10,2.64242e+11,13.3689,414.138,5.53658,0.575347,0.0419845,1.58734e+10,2.21512e+09,1.66094e+09,2.53974e+11,8.85837e+09,below both roofs (kernel/launch),
qwen3.5-9b,4096,16,dflash verify,0.0973608,2.00116e+10,4.22787e+12,211.271,205.54,43.4247,0.28555,0.329294,1.58734e+10,2.22298e+09,1.66094e+09,4.06358e+12,1.41734e+11,"past ridge, below compute roof",
qwen3.5-9b,4096,16,dflash draft,0.0198308,6.48675e+09,1.24247e+12,191.54,327.104,62.6535,0.454435,0.475108,,,,,,"past ridge, below compute roof",9.7933
qwen3.5-9b,4096,32,baseline verify,0.0665899,2.36573e+10,5.28483e+11,22.3391,355.268,7.93639,0.493562,0.0601824,1.58734e+10,4.43023e+09,3.32189e+09,5.07948e+11,1.77167e+10,below both roofs (kernel/launch),
qwen3.5-9b,4096,32,dflash verify,0.164553,2.41498e+10,8.45573e+12,350.137,146.76,51.3861,0.203888,0.389666,1.58734e+10,4.44596e+09,3.32189e+09,8.12717e+12,2.83468e+11,"past ridge, below compute roof",
qwen3.5-9b,4096,32,dflash draft,0.0338758,8.35856e+09,2.50242e+12,299.384,246.741,73.8703,0.342789,0.560166,,,,,,"past ridge, below compute roof",11.2727
qwen3.5-9b,8192,1,baseline verify,0.0392242,1.62508e+10,1.7052e+10,1.0493,414.306,0.43473,0.575581,0.00329661,1.58734e+10,2.72663e+08,1.03809e+08,1.58734e+10,1.09052e+09,below both roofs (kernel/launch),
qwen3.5-9b,8192,1,dflash verify,0.0721507,1.62662e+10,2.72832e+11,16.7729,225.448,3.78141,0.313207,0.0286748,1.58734e+10,2.73154e+08,1.03809e+08,2.53974e+11,1.74483e+10,below both roofs (kernel/launch),
qwen3.5-9b,8192,1,dflash draft,0.0101634,4.75125e+09,7.6638e+10,16.1301,467.486,7.54059,0.649462,0.057181,,,,,,below both roofs (kernel/launch),4.13035
qwen3.5-9b,8192,2,baseline verify,0.0385595,1.66283e+10,3.41039e+10,2.05096,431.237,0.884449,0.599103,0.00670687,1.58734e+10,5.45325e+08,2.07618e+08,3.17467e+10,2.18104e+09,below both roofs (kernel/launch),
qwen3.5-9b,8192,2,dflash verify,0.0716747,1.66591e+10,5.45663e+11,32.7547,232.426,7.61305,0.322902,0.0577305,1.58734e+10,5.46308e+08,2.07618e+08,5.07948e+11,3.48966e+10,below both roofs (kernel/launch),
qwen3.5-9b,8192,2,dflash draft,0.010753,4.88459e+09,1.54106e+11,31.5494,454.254,14.3314,0.631079,0.108677,,,,,,below both roofs (kernel/launch),5.25507
qwen3.5-9b,8192,4,baseline verify,0.0372755,1.73832e+10,6.82079e+10,3.92377,466.344,1.82983,0.647876,0.0138758,1.58734e+10,1.09065e+09,4.15236e+08,6.34935e+10,4.36208e+09,below both roofs (kernel/launch),
qwen3.5-9b,8192,4,dflash verify,0.0713647,1.74448e+10,1.09133e+12,62.5588,244.446,15.2922,0.3396,0.115963,1.58734e+10,1.09262e+09,4.15236e+08,1.0159e+12,6.97932e+10,below both roofs (kernel/launch),
qwen3.5-9b,8192,4,dflash draft,0.0119887,5.15148e+09,3.10105e+11,60.1973,429.696,25.8666,0.596962,0.196149,,,,,,below both roofs (kernel/launch),6.53707
qwen3.5-9b,8192,8,baseline verify,0.0408245,1.88931e+10,1.36416e+11,7.22041,462.788,3.34152,0.642935,0.0253391,1.58734e+10,2.1813e+09,8.30472e+08,1.26987e+11,8.72415e+09,below both roofs (kernel/launch),
qwen3.5-9b,8192,8,dflash verify,0.0707987,1.90162e+10,2.18265e+12,114.778,268.595,30.829,0.37315,0.233779,1.58734e+10,2.18523e+09,8.30472e+08,2.03179e+12,1.39586e+11,below both roofs (kernel/launch),
qwen3.5-9b,8192,8,dflash draft,0.0139655,5.68564e+09,6.24331e+11,109.808,407.121,44.7053,0.565599,0.339005,,,,,,below both roofs (kernel/launch),7.93261
qwen3.5-9b,8192,16,baseline verify,0.0506992,2.19128e+10,2.72832e+11,12.4508,432.212,5.38138,0.600457,0.0408075,1.58734e+10,4.3626e+09,1.66094e+09,2.53974e+11,1.74483e+10,below both roofs (kernel/launch),
qwen3.5-9b,8192,16,dflash verify,0.103262,2.21591e+10,4.3653e+12,196.999,214.59,42.274,0.298123,0.320568,1.58734e+10,4.37046e+09,1.66094e+09,4.06358e+12,2.79173e+11,"past ridge, below compute roof",
qwen3.5-9b,8192,16,dflash draft,0.0232174,6.75398e+09,1.25282e+12,185.494,290.902,53.9604,0.40414,0.409188,,,,,,"past ridge, below compute roof",8.63636
qwen3.5-9b,8192,32,baseline verify,0.0722678,2.79522e+10,5.45663e+11,19.5213,386.787,7.55057,0.53735,0.0572567,1.58734e+10,8.7252e+09,3.32189e+09,5.07948e+11,3.48966e+10,below both roofs (kernel/launch),
qwen3.5-9b,8192,32,dflash verify,0.176361,2.84447e+10,8.73061e+12,306.932,161.287,49.5042,0.224071,0.375396,1.58734e+10,8.74093e+09,3.32189e+09,8.12717e+12,5.58346e+11,"past ridge, below compute roof",
qwen3.5-9b,8192,32,dflash draft,0.0410338,8.89308e+09,2.52352e+12,283.762,216.726,61.4986,0.30109,0.46635,,,,,,"past ridge, below compute roof",10.1504
qwen3.5-9b,16384,1,baseline verify,0.0365725,1.65193e+10,1.81257e+10,1.09725,451.685,0.49561,0.627511,0.00375826,1.58734e+10,5.41098e+08,1.03809e+08,1.58734e+10,2.16426e+09,below both roofs (kernel/launch),
qwen3.5-9b,16384,1,dflash verify,0.0683853,1.65347e+10,2.90011e+11,17.5396,241.787,4.24085,0.335906,0.0321588,1.58734e+10,5.4159e+08,1.03809e+08,2.53974e+11,3.46282e+10,below both roofs (kernel/launch),
qwen3.5-9b,16384,1,dflash draft,0.010043,4.78479e+09,7.87467e+10,16.4577,476.432,7.84097,0.66189,0.0594589,,,,,,below both roofs (kernel/launch),4.02539
qwen3.5-9b,16384,2,baseline verify,0.0361387,1.71652e+10,3.62514e+10,2.11192,474.98,1.00312,0.659874,0.00760676,1.58734e+10,1.0822e+09,2.07618e+08,3.17467e+10,4.32852e+09,below both roofs (kernel/launch),
qwen3.5-9b,16384,2,dflash verify,0.0680688,1.7196e+10,5.80023e+11,33.7302,252.626,8.52113,0.350965,0.0646166,1.58734e+10,1.08318e+09,2.07618e+08,5.07948e+11,6.92563e+10,below both roofs (kernel/launch),
qwen3.5-9b,16384,2,dflash draft,0.0110683,4.9517e+09,1.58384e+11,31.9858,447.376,14.3097,0.621524,0.108512,,,,,,below both roofs (kernel/launch),5.23202
qwen3.5-9b,16384,4,baseline verify,0.0369174,1.8457e+10,7.25028e+10,3.92821,499.953,1.96392,0.694568,0.0148926,1.58734e+10,2.16439e+09,4.15236e+08,6.34935e+10,8.65704e+09,below both roofs (kernel/launch),
qwen3.5-9b,16384,4,dflash verify,0.0674582,1.85185e+10,1.16005e+12,62.6424,274.519,17.1965,0.381379,0.130403,1.58734e+10,2.16636e+09,4.15236e+08,1.0159e+12,1.38513e+11,below both roofs (kernel/launch),
qwen3.5-9b,16384,4,dflash draft,0.0124552,5.28574e+09,3.1892e+11,60.336,424.378,25.6053,0.589574,0.194168,,,,,,below both roofs (kernel/launch),6.68955
qwen3.5-9b,16384,8,baseline verify,0.0436375,2.10406e+10,1.45006e+11,6.89172,482.167,3.32296,0.669858,0.0251984,1.58734e+10,4.32878e+09,8.30472e+08,1.26987e+11,1.73141e+10,below both roofs (kernel/launch),
qwen3.5-9b,16384,8,dflash verify,0.0656613,2.11637e+10,2.32009e+12,109.626,322.316,35.3342,0.447782,0.267943,1.58734e+10,4.33272e+09,8.30472e+08,2.03179e+12,2.77025e+11,below both roofs (kernel/launch),
qwen3.5-9b,16384,8,dflash draft,0.0152318,5.95413e+09,6.418e+11,107.791,390.902,42.1356,0.543066,0.319519,,,,,,below both roofs (kernel/launch),8.03047
qwen3.5-9b,16384,16,baseline verify,0.0563918,2.62078e+10,2.90011e+11,11.0659,464.744,5.14279,0.645653,0.0389983,1.58734e+10,8.65757e+09,1.66094e+09,2.53974e+11,3.46282e+10,below both roofs (kernel/launch),
qwen3.5-9b,16384,16,dflash verify,0.118617,2.6454e+10,4.64018e+12,175.406,223.021,39.1191,0.309835,0.296644,1.58734e+10,8.66543e+09,1.66094e+09,4.06358e+12,5.54051e+11,below both roofs (kernel/launch),
qwen3.5-9b,16384,16,dflash draft,0.0250919,7.29156e+09,1.29119e+12,177.08,290.594,51.4583,0.403712,0.390213,,,,,,below both roofs (kernel/launch),9.315
qwen3.5-9b,16384,32,baseline verify,0.0838715,3.65422e+10,5.80023e+11,15.8727,435.692,6.91561,0.605292,0.0524418,1.58734e+10,1.73151e+10,3.32189e+09,5.07948e+11,6.92563e+10,below both roofs (kernel/launch),
qwen3.5-9b,32768,1,baseline verify,0.038852,1.70561e+10,2.02732e+10,1.18862,439.003,0.521805,0.609891,0.0039569,1.58734e+10,1.07797e+09,1.03809e+08,1.58734e+10,4.31174e+09,below both roofs (kernel/launch),
qwen3.5-9b,32768,1,dflash verify,0.0732926,1.70715e+10,3.24371e+11,19.0007,232.923,4.4257,0.323592,0.0335605,1.58734e+10,1.07846e+09,1.03809e+08,2.53974e+11,6.89879e+10,below both roofs (kernel/launch),
qwen3.5-9b,32768,1,dflash draft,0.0103294,4.85188e+09,8.29254e+10,17.0914,469.715,8.02807,0.652558,0.0608777,,,,,,below both roofs (kernel/launch),3.71018
qwen3.5-9b,32768,2,baseline verify,0.03856,1.82389e+10,4.05464e+10,2.22307,473.001,1.05151,0.657124,0.00797374,1.58734e+10,2.15594e+09,2.07618e+08,3.17467e+10,8.62349e+09,below both roofs (kernel/launch),
qwen3.5-9b,32768,2,dflash verify,0.0721656,1.82697e+10,6.48742e+11,35.5092,253.164,8.98964,0.351711,0.0681693,1.58734e+10,2.15692e+09,2.07618e+08,5.07948e+11,1.37976e+11,below both roofs (kernel/launch),
qwen3.5-9b,32768,2,dflash draft,0.0119173,5.08588e+09,1.66731e+11,32.7832,426.764,13.9907,0.592888,0.106093,,,,,,below both roofs (kernel/launch),4.90323
qwen3.5-9b,32768,4,baseline verify,0.0400453,2.06045e+10,8.10928e+10,3.93569,514.528,2.02502,0.714816,0.015356,1.58734e+10,4.31188e+09,4.15236e+08,6.34935e+10,1.7247e+10,HBM-bound,
qwen3.5-9b,32768,4,dflash verify,0.0717751,2.0666e+10,1.29748e+12,62.7835,287.928,18.0771,0.400008,0.13708,1.58734e+10,4.31384e+09,4.15236e+08,1.0159e+12,2.75952e+11,below both roofs (kernel/launch),
qwen3.5-9b,32768,4,dflash draft,0.0136112,5.55411e+09,3.35756e+11,60.4518,408.054,24.6676,0.566895,0.187057,,,,,,below both roofs (kernel/launch),6.45624
qwen3.5-9b,32768,8,baseline verify,0.0494021,2.53355e+10,1.62186e+11,6.4015,512.844,3.28297,0.712476,0.0248951,1.58734e+10,8.62375e+09,8.30472e+08,1.26987e+11,3.4494e+10,HBM-bound,
qwen3.5-9b,32768,8,dflash verify,0.0765452,2.54587e+10,2.59497e+12,101.929,332.596,33.9011,0.462064,0.257076,1.58734e+10,8.62768e+09,8.30472e+08,2.03179e+12,5.51903e+11,below both roofs (kernel/launch),
qwen3.5-9b,32768,8,dflash draft,0.0165235,6.49115e+09,6.7701e+11,104.297,392.844,40.9726,0.545764,0.310699,,,,,,below both roofs (kernel/launch),8.31844
qwen3.5-9b,32768,16,baseline verify,0.0678466,3.47977e+10,3.24371e+11,9.32162,512.888,4.78095,0.712538,0.0362544,1.58734e+10,1.72475e+10,1.66094e+09,2.53974e+11,6.89879e+10,HBM-bound,
