model,context_length,mode,num_devices,phase,phase_index,is_peak_phase,mean_occurrences_per_sample,peak_interval_label,mean_interval_peak_gb,max_interval_peak_gb,peak_allocated_before_gb,peak_allocated_after_gb,peak_transient_gb,peak_unattributed_gb,target_weight_gb,target_kv_gb,draft_weight_gb,draft_kv_gb,selected_hidden_gb,context_feature_gb
qwen3.5-9b,16384,dflash,1,decode: context-feature build,11,False,27.719,decode: context-feature build,20.3354,21.0393,21.0383,20.0393,0.001,1.0232,16.6778,0.5547,2.4064,0.3754,0.001,0.001
qwen3.5-9b,16384,baseline,1,prefill: target forward,0,True,1,target layer 30,28.9662,28.9662,19.0927,25.64,3.3262,3.3353,16.6778,6.5469,2.4064,0.0,0.0,0.0
qwen3.5-9b,16384,baseline,1,prefill: first token,2,False,1,prefill: first token,25.64,25.64,25.64,25.64,0.0,0.0091,16.6778,6.5469,2.4064,0.0,0.0,0.0
qwen3.5-9b,16384,baseline,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,25.64,25.64,25.64,25.64,0.0,0.0091,16.6778,6.5469,2.4064,0.0,0.0,0.0
qwen3.5-9b,16384,baseline,1,decode: target verify,9,False,228.969,decode: target verify,20.1968,25.6402,25.64,19.6419,0.0001,6.0073,16.6778,0.5487,2.4064,0.0,0.0,0.0
qwen3.5-9b,16384,baseline,1,decode: verify rollback/crop,10,False,228.969,decode: verify rollback/crop,19.6454,19.6575,19.6575,19.6575,0.0,0.0091,16.6778,0.5643,2.4064,0.0,0.0,0.0
qwen3.5-9b,32768,dflash,1,prefill: target forward,0,True,1,target layer 30,40.5401,40.5401,19.0933,34.1407,6.3994,6.4091,16.6778,13.0469,2.4064,0.0,2.0,0.0
qwen3.5-9b,32768,dflash,1,prefill: context-feature build,1,False,1,prefill: context-feature build,36.1406,36.1407,34.1407,34.1407,2.0,4.0097,16.6778,13.0469,2.4064,0.0,0.0,0.0
qwen3.5-9b,32768,dflash,1,prefill: first token,2,False,1,prefill: first token,34.1406,34.1407,34.1407,34.1407,0.0,2.0097,16.6778,13.0469,2.4064,0.0,0.0,0.0
qwen3.5-9b,32768,dflash,1,prefill: context-feature concat,3,False,1,prefill: context-feature concat,34.1406,34.1407,34.1407,34.1407,0.0,0.0097,16.6778,13.0469,2.4064,0.0,0.0,2.0
qwen3.5-9b,32768,dflash,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,34.1406,34.1407,34.1407,34.1407,0.0,0.0097,16.6778,13.0469,2.4064,0.0,0.0,2.0
qwen3.5-9b,32768,dflash,1,decode: first draft forward,5,False,1,decode: first draft forward,35.659,35.6593,34.1402,34.8908,0.7685,0.7784,16.6778,13.0465,2.4064,0.7503,0.0,1.9999
qwen3.5-9b,32768,dflash,1,decode: draft forward,6,False,3.944,decode: draft forward,20.7969,20.9312,20.9149,20.3683,0.0163,0.5867,16.6778,1.0547,2.4064,0.2038,0.001,0.001
qwen3.5-9b,32768,dflash,1,decode: draft rollback/crop,7,False,3.219,decode: draft rollback/crop,29.9158,34.8913,34.8913,34.8913,0.0,0.0099,16.6778,13.0469,2.4064,0.7504,0.0,2.0
qwen3.5-9b,32768,dflash,1,decode: draft logits,8,False,3.219,decode: draft logits,29.9297,34.9051,34.8913,34.8982,0.0069,0.0238,16.6778,13.0469,2.4064,0.7504,0.0,2.0
qwen3.5-9b,32768,dflash,1,decode: target verify,9,False,3.219,decode: target verify,30.0942,34.8996,34.8982,22.9139,0.0014,12.0095,16.6778,1.0547,2.4064,0.7504,0.001,2.0
qwen3.5-9b,32768,dflash,1,decode: verify rollback/crop,10,False,3.219,decode: verify rollback/crop,22.042,22.9139,22.9139,22.9139,0.0,0.0238,16.6778,1.0547,2.4064,0.7504,0.001,2.0
qwen3.5-9b,32768,dflash,1,decode: context-feature build,11,False,3.219,decode: context-feature build,22.043,22.9149,22.9139,20.9149,0.001,2.0238,16.6778,1.0547,2.4064,0.7504,0.001,0.001
qwen3.5-9b,32768,baseline,1,prefill: target forward,0,True,1,target layer 30,38.7901,38.7901,19.0933,32.1407,6.6494,6.6591,16.6778,13.0469,2.4064,0.0,0.0,0.0
qwen3.5-9b,32768,baseline,1,prefill: first token,2,False,1,prefill: first token,32.1406,32.1407,32.1407,32.1407,0.0,0.0097,16.6778,13.0469,2.4064,0.0,0.0,0.0
qwen3.5-9b,32768,baseline,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,32.1406,32.1407,32.1407,32.1407,0.0,0.0097,16.6778,13.0469,2.4064,0.0,0.0,0.0
qwen3.5-9b,32768,baseline,1,decode: target verify,9,False,9.562,decode: target verify,22.2639,32.1408,32.1407,20.1425,0.0001,12.0079,16.6778,1.0487,2.4064,0.0,0.0,0.0
qwen3.5-9b,32768,baseline,1,decode: verify rollback/crop,10,False,9.562,decode: verify rollback/crop,20.1426,20.1442,20.1442,20.1442,0.0,0.0097,16.6778,1.0504,2.4064,0.0,0.0,0.0
qwen3.5-9b,65536,dflash,2,prefill: target forward,0,True,1,target layer 30,62.4462,62.4462,19.1025,49.1498,13.2964,13.3152,16.6778,26.0469,2.4064,0.0,4.0,0.0
qwen3.5-9b,65536,dflash,2,prefill: context-feature build,1,False,1,prefill: context-feature build,53.1498,53.1498,49.1498,49.1498,4.0,8.0188,16.6778,26.0469,2.4064,0.0,0.0,0.0
qwen3.5-9b,65536,dflash,2,prefill: first token,2,False,1,prefill: first token,49.1498,49.1498,49.1498,49.1498,0.0,4.0188,16.6778,26.0469,2.4064,0.0,0.0,0.0
qwen3.5-9b,65536,dflash,2,prefill: context-feature concat,3,False,1,prefill: context-feature concat,49.1498,49.1498,49.1498,49.1498,0.0,0.0188,16.6778,26.0469,2.4064,0.0,0.0,4.0
qwen3.5-9b,65536,dflash,2,prefill: rollback/crop,4,False,1,prefill: rollback/crop,49.1498,49.1498,49.1498,49.1498,0.0,0.0188,16.6778,26.0469,2.4064,0.0,0.0,4.0
qwen3.5-9b,65536,dflash,2,decode: first draft forward,5,False,1,decode: first draft forward,52.1853,52.1865,49.1494,50.6499,1.5366,1.5557,16.6778,26.0465,2.4064,1.5003,0.0,3.9999
qwen3.5-9b,65536,dflash,2,decode: draft forward,6,False,4.471,decode: draft forward,22.3814,22.6904,22.6741,21.5025,0.0163,1.2208,16.6778,2.0547,2.4064,0.3288,0.001,0.001
qwen3.5-9b,65536,dflash,2,decode: draft rollback/crop,7,False,3.375,decode: draft rollback/crop,40.9615,50.6504,50.6504,50.6504,0.0,0.0191,16.6778,26.0469,2.4064,1.5004,0.0,4.0
qwen3.5-9b,65536,dflash,2,decode: draft logits,8,False,3.375,decode: draft logits,40.9824,50.6712,50.6504,50.6574,0.0139,0.0399,16.6778,26.0469,2.4064,1.5004,0.0,4.0
qwen3.5-9b,65536,dflash,2,decode: target verify,9,False,3.375,target layer 0,41.3046,50.6593,50.6574,26.6731,0.0019,24.0191,16.6778,2.0547,2.4064,1.5004,0.001,4.0
qwen3.5-9b,65536,dflash,2,decode: verify rollback/crop,10,False,3.375,decode: verify rollback/crop,24.9545,26.6731,26.6731,26.6731,0.0,0.0329,16.6778,2.0547,2.4064,1.5004,0.001,4.0
qwen3.5-9b,65536,dflash,2,decode: context-feature build,11,False,3.375,decode: context-feature build,24.9555,26.6741,26.6731,22.6741,0.001,4.0329,16.6778,2.0547,2.4064,1.5004,0.001,0.001
qwen3.5-9b,65536,baseline,2,prefill: target forward,0,True,1,target layer 30,58.4462,58.4462,19.1025,45.1498,13.2964,13.3152,16.6778,26.0469,2.4064,0.0,0.0,0.0
qwen3.5-9b,65536,baseline,2,prefill: first token,2,False,1,prefill: first token,45.1498,45.1498,45.1498,45.1498,0.0,0.0188,16.6778,26.0469,2.4064,0.0,0.0,0.0
qwen3.5-9b,65536,baseline,2,prefill: rollback/crop,4,False,1,prefill: rollback/crop,45.1498,45.1498,45.1498,45.1498,0.0,0.0188,16.6778,26.0469,2.4064,0.0,0.0,0.0
qwen3.5-9b,65536,baseline,2,decode: target verify,9,False,9.969,target layer 0,25.2109,45.1499,45.1498,21.1517,0.0001,24.0171,16.6778,2.0487,2.4064,0.0,0.0,0.0
qwen3.5-9b,65536,baseline,2,decode: verify rollback/crop,10,False,9.969,decode: verify rollback/crop,21.1518,21.1531,21.1531,21.1531,0.0,0.0188,16.6778,2.0501,2.4064,0.0,0.0,0.0
